exercise,vol_at_rpe8to9,priority,bodyweight
Dumbbell shoulder press,600,2,n
Concentration Curls,600,3,n
Pushups,30,1,y
Ab Crunches,60,2,y
Side lateral raise,300,3,n
One arm one leg dumbell row,600,1,n
EZ bar skullcrusher,600,3,n
Flat dumbbell bench press,800,1,n
Dumbbell curl to press,600,1,n
Pullover extension,600,2,n
Situp to L sit dumbbell press,240,2,n
One arm overhead dumbbell extensions,360,3,n
Situps,30,1,y
Ab Rolls,30,2,n
Hollow rocks,30,3,y
Leg Lifts,30,2,y
V ups,30,2,y
Front Lateral Raise,450,2,n
Air Squats,30,1,y
Glute Bridges,30,1,y
One arm one leg dumbbell row,600,2,n
Toe Raises,36,2,n
Lunges,30,2,y
Kettleball Swing,300,3,n
Walking Planks,30,3,y
Bicycle Crunches,30,3,y
Windmills,30,3,y
Supermans,30,3,y
Burpees,30,2,y
Squat,650,1,n
Deadlift,650,1,n
Dumbbell Squat to Press,450,2,n
Box Squat,800,2,n
Assisted Pullups,-3500,1,n
Lat Pulldown,2000,1,n
Seated Row,2000,1,n 
Bent Over Barbell Row,1300,3,n
Single Leg Press,4000,2,n
Weighted Step Ups,600,2,n
Bulgarian Split Squat,300,3,n
Cross Body Pulldowns,1300,2,n
Leg Extensions,1800,3,n
Leg Curls,1600,3,n
Weighted Lunges,400,2,n
Assisted Dips,-3000,2,n
Straight Leg Dead Lift,500,3,n
Bent Over Dumbbell Reverse Fly,400,2.5,n
Tricep Pushdown, 1300,2.5,n
Goblet Squat,1300,3,n

